skills,salary
"Python,docker,SOA,tornado,C++,Asyncio,MongoDB,ASIO","от ,160 000, до ,200 000, ,руб., на руки"
"Английский — A1 — Начальный,Python,Django Framework,Работа в команде,React.js,Fullstack,React Python,Веб-программирование,HTML,Ответственность,django,Middle","от ,120 000, ,руб., на руки"
"Python,Django Framework,Git,PostgreSQL,Atlassian Jira","от ,140 000, ,руб., на руки"
"Python,Git,ООП,Unit Testing,Спортивные мероприятия","от ,180 000, до ,200 000, ,руб., до вычета налогов"
"Python,Django,Django REST Framework,PyTest,Git,Postgres,Linux,CI,Работа в команде","от ,100 000, ,руб., на руки"
"Python,Django Framework,JavaScript,AngularJS,PostgreSQL,Django,JS,HTML,jQuery","от ,150 000, до ,200 000, ,руб., на руки"
,з/п не указана
"Python,docker,SOA,tornado,C++,Counsul,Asyncio,MongoDB,ASIO","от ,180 000, до ,230 000, ,руб., на руки"
"Python,Django Framework,ML","от ,100 000, до ,180 000, ,руб., на руки"
"Nginx,PostgreSQL,JavaScript,Node.js,Python,docker,devops,Git,jQuery,CSS,CSS3,MongoDB,Bootstrap,Работа в команде,ООП,Ubuntu,Linux,Управление проектами,Apache HTTP Server","от ,220 000, ,руб., до вычета налогов"
"MySQL,Redis,Python,PHP,laravel,PostgreSQL,Nginx,Apache HTTP Server,Git,docker,RabbitMQ,web разработка","от ,150 000, ,руб., на руки"
"Python,SQL,PostgreSQL,C#","от ,1 500, ,EUR, на руки"
,от 140 000 до 200 000 руб. на руки
, з/п не указана
"Java,Python,Node.js,MySQL,API,Git,goLang",з/п не указана
,"до ,180 000, ,руб., на руки"
"Python,CSS,JavaScript,React,Docker,Git,HTML5,Redux,Django Framework,Flask","от ,150 000, до ,200 000, ,руб., до вычета налогов"
"Back-End,Java,C++,SCALA,Kotlin,Python,Go,Rust,C,Git,C#,F#","от ,2 000, ,EUR, на руки"
,от 140 000 до 220 000 руб. на руки
, з/п не указана
"Python,Linux,PostgreSQL,SQL,C++,Go,Data Science,Machine Learning,Docker,Kubernetes,OpenShift,Ansible,CI/CD",з/п не указана
"Python,PostgreSQL",з/п не указана
, з/п не указана
"CSS,Highcharts,JSON API,ES6,HTML,CSS3,ООП,REST,Git,SCSS,JavaScript,HTML5,ES2015,Webpack","от ,110 000, до ,160 000, ,руб., на руки"
, з/п не указана
, з/п не указана
"JavaScript,HTML,CSS,Git,Web components,Polymer,WebGL,Three.js,Python,SPA,Electron,Tornado","от ,40 000, до ,100 000, ,руб., на руки"
,з/п не указана
"Python,Linux,MySQL,PostgreSQL,Django Framework,DRF,Docker,Celery,Git,Redis,ORM","от ,100 000, до ,150 000, ,руб., на руки"
"Python,Linux,Git,ООП,СУБД",з/п не указана
"MySQL,PostgreSQL,Symfony,Git,PHP,Python","от ,180 000, до ,200 000, ,руб., на руки"
,"от ,180 000, до ,210 000, ,руб., на руки"
"MySQL,PostgreSQL,Python,PHP,Git","от ,200 000, до ,240 000, ,руб., на руки"
"C++,Python",з/п не указана
"Python,SQL,Linux,HTML,HTML5,Веб-программирование,MySQL",з/п не указана
"JavaScript,Node.js","от ,120 000, до ,200 000, ,руб., на руки"
, з/п не указана
"C++,STL",з/п не указана
,з/п не указана
"Python,PostgreSQL,REST,SQL,Mercurial",з/п не указана
"Python,Linux,ООП,Разработка технических заданий",з/п не указана
, з/п не указана
"Python,JavaScript,Git,Linux,Аналитические исследования,Анализ данных,Data Analysis,Data Science,Machine Learning",з/п не указана
"Python,PHP,Ruby On Rails,Node.js,Unix",з/п не указана
, з/п не указана
Английский — B1 — Средний,з/п не указана
"Python,MongoDB,Redis,Django Framework,Symfony",з/п не указана
, з/п не указана
, з/п не указана
,з/п не указана
"JavaScript,Python,Node.js,Git,HTML5",з/п не указана
"Java,SCALA,PostgreSQL,Python,Cassandra,Big Data",з/п не указана
, з/п не указана
"golang,Python",з/п не указана
"Python,Linux,Git,REST,CI/CD,Асинхронное программирование,asyncio,aiohttp","от ,150 000, до ,180 000, ,руб., до вычета налогов"
"Python,PostgreSQL,Django Framework,Flask",з/п не указана
"JavaScript,TypeScript,Vue,Vue.js",з/п не указана
,з/п не указана
"Python,Rabbit,Kafka,SQL",з/п не указана
"PHP,HTML,Git,CSS,Zend Framework","от ,200 000, ,руб., на руки"
"Java,Python,SQL,REST,HTTP,Jenkins,Git",з/п не указана
, з/п не указана
"Python,Django Framework",з/п не указана
"Английский — B1 — Средний,Python,JavaScript,SQL,Java",з/п не указана
,з/п не указана
"Python,Linux",з/п не указана
"Python,MySQL,JavaScript,Node.js,PostgreSQL","от ,200 000, ,руб., на руки"
, з/п не указана
, з/п не указана
"PostgreSQL,Python,Git,Linux,Nginx,Zabbix",з/п не указана
"Python,Автоматизация,SQL",з/п не указана
, з/п не указана
, з/п не указана
